strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
research_253_volatility_adjusted_signal_thresholds,TESTED,58.8,3.91,1838,52.28,0.6674,-1.46,-5212.59,-52.13,3065,40.03,1227,-2.19,38.31
research_254_kaufman_adaptive_moving_average,TESTED,58.6,4.46,1856,51.42,0.683,-1.99,-5141.71,-51.42,3075,39.64,1219,-2.23,37.92
research_267_tick_optimized_limit_execution,TESTED,58.8,3.91,1838,52.28,0.6674,-1.46,-5212.59,-52.13,3065,40.03,1227,-2.19,38.31
research_277_ab_cd_harmonic_pattern,TESTED,58.8,3.91,1838,52.28,0.6674,-1.46,-5212.59,-52.13,3065,40.03,1227,-2.19,38.31
research_28_smart_dca_with_sma_volume_filtering,TESTED,58.8,4.18,1711,49.55,0.6976,-1.23,-4881.23,-48.81,2839,39.73,1128,-2.24,37.94
research_310_supply_and_demand_zones,TESTED,58.6,4.46,1813,48.3,0.7171,-0.76,-4779.02,-47.79,3073,41.0,1260,-2.07,39.27
research_324_multi_exchange_lagger_detection_momentum,TESTED,58.8,3.91,1838,52.28,0.6674,-1.46,-5212.59,-52.13,3065,40.03,1227,-2.19,38.31
research_343_sellers_exhaustion_volume_wick,TESTED,58.9,4.04,1699,44.99,0.7313,0.07,-4496.91,-44.97,2831,39.99,1132,-1.99,38.19
research_344_consecutive_down_closes_mean_reversion,TESTED,58.2,3.84,1252,41.88,0.7411,-0.17,-4166.79,-41.67,2242,44.16,990,-2.2,42.11
research_359_sma_crossover_strategy,TESTED,58.6,4.46,1856,51.42,0.683,-1.99,-5141.71,-51.42,3075,39.64,1219,-2.23,37.92
research_360_long_only_sma_price_cross,TESTED,58.6,4.46,1856,51.42,0.683,-1.99,-5141.71,-51.42,3075,39.64,1219,-2.23,37.92
research_362_sma_with_kalman_filter,TESTED,58.6,4.46,1856,51.42,0.683,-1.99,-5141.71,-51.42,3075,39.64,1219,-2.23,37.92
research_368_two_down_bars_median_reversion,TESTED,58.1,3.08,1496,47.04,0.7115,-0.8,-4678.92,-46.79,2681,44.2,1185,-2.46,42.33
research_40_capitulation_dip_buying,TESTED,58.1,3.08,1496,47.04,0.7115,-0.8,-4678.92,-46.79,2681,44.2,1185,-2.46,42.33
research_58_solana_new_token_sniper,TESTED,58.8,4.18,1711,49.55,0.6976,-1.23,-4881.23,-48.81,2839,39.73,1128,-2.24,37.94
research_78_smart_money_stop_hunt,TESTED,58.6,4.46,1813,48.3,0.7171,-0.76,-4779.02,-47.79,3073,41.0,1260,-2.07,39.27
research_86_rsi_divergence_multi_indicator_strategy,INSUFFICIENT_VOLUME,,,,,,,,,4,,,,
research_87_macd_momentum_crossover,TESTED,58.6,4.38,1690,51.33,0.6664,0.13,-5121.72,-51.22,2868,41.07,1178,-2.23,39.28
research_96_solana_micro_cap_new_token_sniper,TESTED,58.6,4.46,1856,51.42,0.683,-1.99,-5141.71,-51.42,3075,39.64,1219,-2.23,37.92
rsi_enhanced_bollinger_bands,TESTED,20.0,3.15,3728,47.34,0.6089,-0.42,-4734.11,-47.34,5730,34.94,2002,-1.78,33.71
rsi_extremes,TESTED,20.0,4.53,3652,45.4,0.6248,2.44,-4535.78,-45.36,6057,39.71,2405,-2.46,38.48
sma_fibonacci_confluence_long,TESTED,20.0,3.36,5632,51.16,0.5554,-1.72,-5115.93,-51.16,8688,35.17,3056,-2.14,34.18
