strategy,status,avg_hold_min,best_trade_pct,losses,max_drawdown_pct,profit_factor,sharpe_ratio,total_pnl_usd,total_return_pct,total_trades,win_rate_pct,wins,worst_trade_pct,wr_ci_lower_pct
research_344_consecutive_down_closes_mean_reversion,TESTED,59.3,1.86,241,12.73,0.7883,4.56,-999.62,-10.0,426,43.43,185,-1.72,38.78
research_359_sma_crossover_strategy,TESTED,59.6,1.93,340,18.26,0.7272,2.54,-1708.36,-17.08,583,41.68,243,-1.53,37.73
research_360_long_only_sma_price_cross,TESTED,59.6,1.93,340,18.26,0.7272,2.54,-1708.36,-17.08,583,41.68,243,-1.53,37.73
research_362_sma_with_kalman_filter,TESTED,59.6,1.93,340,18.26,0.7272,2.54,-1708.36,-17.08,583,41.68,243,-1.53,37.73
research_368_two_down_bars_median_reversion,TESTED,59.7,1.96,276,13.69,0.7643,5.02,-1202.28,-12.02,499,44.69,223,-1.5,40.37
research_40_capitulation_dip_buying,TESTED,59.7,1.96,276,13.69,0.7643,5.02,-1202.28,-12.02,499,44.69,223,-1.5,40.37
research_58_solana_new_token_sniper,TESTED,59.6,1.95,297,10.4,0.827,6.76,-987.11,-9.87,543,45.3,246,-1.57,41.15
research_78_smart_money_stop_hunt,TESTED,59.6,1.81,350,18.23,0.7287,2.53,-1722.33,-17.22,583,39.97,233,-1.53,36.05
research_87_macd_momentum_crossover,TESTED,59.7,1.78,316,19.07,0.6812,1.27,-1860.58,-18.61,544,41.91,228,-1.35,37.82
research_96_solana_micro_cap_new_token_sniper,TESTED,59.6,1.93,340,18.26,0.7272,2.54,-1708.36,-17.08,583,41.68,243,-1.53,37.73
rsi_enhanced_bollinger_bands,TESTED,20.0,1.9,743,32.77,0.5071,0.8,-3181.27,-31.81,1105,32.76,362,-1.27,30.04
rsi_extremes,TESTED,20.0,1.34,720,31.7,0.5133,2.7,-3148.33,-31.48,1162,38.04,442,-1.95,35.28
sma_fibonacci_confluence_long,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
sma_long_only_price_cross,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
sma_pullback_with_previous_day_low,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
sma_trend_filter,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
sma_trend_following,TESTED,20.0,1.8,1117,39.34,0.5056,0.18,-3924.24,-39.24,1674,33.27,557,-1.47,31.05
smi_momentum_divergence,TESTED,20.0,1.8,1087,42.32,0.466,-1.45,-4150.19,-41.5,1674,35.07,587,-1.37,32.81
